classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,"Constata-se que tem muita gente fazendo de conta que ""não sabe"" que a crise nasceu lá fora em 2008, e apenas em 2015 desembarcou por aqui.","Constata-se que tem muita gente fazendo de conta que ""não sabe"" que a crise nasceu lá fora em 2008, e apenas em 2015 desembarcou por aqui.",Constatase que tem muita gente fazendo de conta que não sabe que a crise nasceu lá fora em 2008 e apenas em 2015 desembarcou por aqui,Constatase que tem muita gente fazendo de conta que nao sabe que a crise nasceu la fora em 2008 e apenas em 2015 desembarcou por aqui,Constatase muita gente fazendo conta sabe crise nasceu la 2008 apenas 2015 desembarcou aqui,constatase muita gente fazendo conta sabe crise nasceu la 2008 apenas 2015 desembarcou aqui,constatas muit gent faz cont sab cris nasc la 2008 apen 2015 desembarc aqu
1.0,"""Nunca antes em nossa História"" uma crise demorou tanto a nos afetar.","""Nunca antes em nossa História"" uma crise demorou tanto a nos afetar.",Nunca antes em nossa História uma crise demorou tanto a nos afetar,Nunca antes em nossa Historia uma crise demorou tanto a nos afetar,Nunca antes Historia crise demorou tanto afetar,nunca antes historia crise demorou tanto afetar,nunc ant hist cris demor tant afet
1.0,"Lição: ""O crime compensa!""","Lição: ""O crime compensa!""",Lição O crime compensa,Licao O crime compensa,Licao O crime compensa,licao o crime compensa,lica o crim compens
1.0,"Essa aí fez de ""tudo"" para se reeleger e agora desesperada, quer buscar apoio.","Essa aí fez de ""tudo"" para se reeleger e agora desesperada, quer buscar apoio.",Essa aí fez de tudo para se reeleger e agora desesperada quer buscar apoio,Essa ai fez de tudo para se reeleger e agora desesperada quer buscar apoio,Essa ai fez tudo reeleger agora desesperada quer buscar apoio,essa ai fez tudo reeleger agora desesperada quer buscar apoio,ess ai fez tud reeleg agor desesper qu busc apoi
1.0,"cortar custos da máquina administrativa , nem pensar.","cortar custos da máquina administrativa , nem pensar.",cortar custos da máquina administrativa  nem pensar,cortar custos da maquina administrativa  nem pensar,cortar custos maquina administrativa pensar,cortar custos maquina administrativa pensar,cort cust maquin administr pens
1.0,JS é o maior especialista em efeitos especiais do cinema politico brasileiro .,JS é o maior especialista em efeitos especiais do cinema politico brasileiro .,JS é o maior especialista em efeitos especiais do cinema politico brasileiro ,JS e o maior especialista em efeitos especiais do cinema politico brasileiro ,JS maior especialista efeitos especiais cinema politico brasileiro,js maior especialista efeitos especiais cinema politico brasileiro,js mai especi efeit espec cinem poli brasil
1.0,"Tudo gente fina, ou melhor, traidores do Brasil.","Tudo gente fina, ou melhor, traidores do Brasil.",Tudo gente fina ou melhor traidores do Brasil,Tudo gente fina ou melhor traidores do Brasil,Tudo gente fina melhor traidores Brasil,tudo gente fina melhor traidores brasil,tud gent fin melhor trai brasil
1.0,parabéns ao juiz Moro à sua equipe e a nossa PF.....,parabéns ao juiz Moro à sua equipe e a nossa PF.....,parabéns ao juiz Moro à sua equipe e a nossa PF,parabens ao juiz Moro a sua equipe e a nossa PF,parabens juiz Moro equipe PF,parabens juiz moro equipe pf,parab juiz mor equip pf
1.0,viva a decência,viva a decência,viva a decência,viva a decencia,viva decencia,viva decencia,viv decenc
1.0,de alma lavada.....,de alma lavada.....,de alma lavada,de alma lavada,alma lavada,alma lavada,alm lav
1.0,parabens à PF e a Promotoria Federal.....,parabens à PF e a Promotoria Federal.....,parabens à PF e a Promotoria Federal,parabens a PF e a Promotoria Federal,parabens PF Promotoria Federal,parabens pf promotoria federal,parab pf promot feder
1.0,é emocionante uma notícia dessas numa segunda feira....,é emocionante uma notícia dessas numa segunda feira....,é emocionante uma notícia dessas numa segunda feira,e emocionante uma noticia dessas numa segunda feira,emocionante noticia dessas segunda feira,emocionante noticia dessas segunda feira,emocion notic dess segund feir
1.0,Todo marqueteiro é uma libélula deslumbrante.,Todo marqueteiro é uma libélula deslumbrante.,Todo marqueteiro é uma libélula deslumbrante,Todo marqueteiro e uma libelula deslumbrante,Todo marqueteiro libelula deslumbrante,todo marqueteiro libelula deslumbrante,tod marquet libelul deslumbr
1.0,"João Santana, o marqueteiro do país das maravilhas, foi pego.","João Santana, o marqueteiro do país das maravilhas, foi pego.",João Santana o marqueteiro do país das maravilhas foi pego,Joao Santana o marqueteiro do pais das maravilhas foi pego,Joao Santana marqueteiro pais maravilhas pego,joao santana marqueteiro pais maravilhas pego,joa sant marquet pal maravilh peg
1.0,- Quem diria?...que os poderosos estariam presos?,- Quem diria?...que os poderosos estariam presos?, Quem diriaque os poderosos estariam presos, Quem diriaque os poderosos estariam presos,Quem diriaque poderosos estariam presos,quem diriaque poderosos estariam presos,qu diriaqu poder est pres
1.0,Alguém viu um estadista por aí????,Alguém viu um estadista por aí????,Alguém viu um estadista por aí,Alguem viu um estadista por ai,Alguem viu estadista ai,alguem viu estadista ai,algu viu estad ai
1.0,A Odebrech também falou que não tinha nada....,A Odebrech também falou que não tinha nada....,A Odebrech também falou que não tinha nada,A Odebrech tambem falou que nao tinha nada,A Odebrech falou nada,a odebrech falou nada,a odebrech fal nad
1.0,"Nada de nada, e do pesedebe, não se investiga, fim.","Nada de nada, e do pesedebe, não se investiga, fim.",Nada de nada e do pesedebe não se investiga fim,Nada de nada e do pesedebe nao se investiga fim,Nada nada pesedebe investiga fim,nada nada pesedebe investiga fim,nad nad pesedeb investig fim
1.0,A história se encarregará de o ter como o maior presidente e estadista da história deste país.,A história se encarregará de o ter como o maior presidente e estadista da história deste país.,A história se encarregará de o ter como o maior presidente e estadista da história deste país,A historia se encarregara de o ter como o maior presidente e estadista da historia deste pais,A historia encarregara ter maior presidente estadista historia deste pais,a historia encarregara ter maior presidente estadista historia deste pais,a hist encarreg ter mai presid estad hist dest pal
1.0,"Os P.E.T.R.A.L.H.A.S.tambem construíram muito: porto em Cuba, metrô em Caracas, um tríplex na Guarujá, um belo sítio em Atibaia, sem falar no mais novo curso superior no currículo do MEC: Curso de Contabilidade Criativa.","Os P.E.T.R.A.L.H.A.S.tambem construíram muito: porto em Cuba, metrô em Caracas, um tríplex na Guarujá, um belo sítio em Atibaia, sem falar no mais novo curso superior no currículo do MEC: Curso de Contabilidade Criativa.",Os PETRALHAStambem construíram muito porto em Cuba metrô em Caracas um tríplex na Guarujá um belo sítio em Atibaia sem falar no mais novo curso superior no currículo do MEC Curso de Contabilidade Criativa,Os PETRALHAStambem construiram muito porto em Cuba metro em Caracas um triplex na Guaruja um belo sitio em Atibaia sem falar no mais novo curso superior no curriculo do MEC Curso de Contabilidade Criativa,Os PETRALHAStambem construiram porto Cuba metro Caracas triplex Guaruja belo sitio Atibaia falar novo curso superior curriculo MEC Curso Contabilidade Criativa,os petralhastambem construiram porto cuba metro caracas triplex guaruja belo sitio atibaia falar novo curso superior curriculo mec curso contabilidade criativa,os petralhastamb constru port cub metr carac triplex guaruj bel siti atiba fal nov curs superi curricul mec curs contabil cria
1.0,"Se é tudo 'invenção', então pq não processa essa senhora por calúnia e difamação?","Se é tudo 'invenção', então pq não processa essa senhora por calúnia e difamação?",Se é tudo invenção então pq não processa essa senhora por calúnia e difamação,Se e tudo invencao entao pq nao processa essa senhora por calunia e difamacao,Se tudo invencao entao pq processa senhora calunia difamacao,se tudo invencao entao pq processa senhora calunia difamacao,se tud invenca enta pq process senh calun difamaca
1.0,"Candidata ""Nova Mainha do BR""?","Candidata ""Nova Mainha do BR""?",Candidata Nova Mainha do BR,Candidata Nova Mainha do BR,Candidata Nova Mainha BR,candidata nova mainha br,candidat nov mainh br
1.0,"Isso mesmo, são ""coisas menores"", porque coisa grande mesmo é o barco da Dona Marisa.","Isso mesmo, são ""coisas menores"", porque coisa grande mesmo é o barco da Dona Marisa.",Isso mesmo são coisas menores porque coisa grande mesmo é o barco da Dona Marisa,Isso mesmo sao coisas menores porque coisa grande mesmo e o barco da Dona Marisa,Isso coisas menores porque coisa grande barco Dona Marisa,isso coisas menores porque coisa grande barco dona marisa,iss cois men porqu cois grand barc don maris
1.0,"""Se desfaça essa organização criminosa"",inclusive a que se instalou no estado de SP!","""Se desfaça essa organização criminosa"",inclusive a que se instalou no estado de SP!",Se desfaça essa organização criminosainclusive a que se instalou no estado de SP,Se desfaca essa organizacao criminosainclusive a que se instalou no estado de SP,Se desfaca organizacao criminosainclusive instalou estado SP,se desfaca organizacao criminosainclusive instalou estado sp,se desfac organizaca criminosainclusiv instal est sp
1.0,É bom ser amigo da grande mídia.,É bom ser amigo da grande mídia.,É bom ser amigo da grande mídia,E bom ser amigo da grande midia,E bom ser amigo grande midia,e bom ser amigo grande midia,e bom ser amig grand mid
1.0,"Kkkkk, então qualquer coisa (e estamos falando de lavagem de dinheiro e/ou remessa ilegal ao exterior) que sai dos tucanos, não pode falar, pq é desviar a atenção da Lava-Jato.","Kkkkk, então qualquer coisa (e estamos falando de lavagem de dinheiro e/ou remessa ilegal ao exterior) que sai dos tucanos, não pode falar, pq é desviar a atenção da Lava-Jato.",Kkkkk então qualquer coisa e estamos falando de lavagem de dinheiro eou remessa ilegal ao exterior que sai dos tucanos não pode falar pq é desviar a atenção da LavaJato,Kkkkk entao qualquer coisa e estamos falando de lavagem de dinheiro eou remessa ilegal ao exterior que sai dos tucanos nao pode falar pq e desviar a atencao da LavaJato,Kkkkk entao qualquer coisa falando lavagem dinheiro eou remessa ilegal exterior sai tucanos pode falar pq desviar atencao LavaJato,kkkkk entao qualquer coisa falando lavagem dinheiro eou remessa ilegal exterior sai tucanos pode falar pq desviar atencao lavajato,kkkkk enta qualqu cois fal lav dinh eou remess ileg exteri sai tucan pod fal pq desvi atenca lavajat
1.0,"Abra os olhos , dona Dilma!","Abra os olhos , dona Dilma!",Abra os olhos  dona Dilma,Abra os olhos  dona Dilma,Abra olhos dona Dilma,abra olhos dona dilma,abr olh don dilm
1.0,"Que tanto medo tem LULA de que investiguem a ele e ao PT, se declara aos quatro ventos que é o homem mais honesto do país e que não deve nada a ninguém?","Que tanto medo tem LULA de que investiguem a ele e ao PT, se declara aos quatro ventos que é o homem mais honesto do país e que não deve nada a ninguém?",Que tanto medo tem LULA de que investiguem a ele e ao PT se declara aos quatro ventos que é o homem mais honesto do país e que não deve nada a ninguém,Que tanto medo tem LULA de que investiguem a ele e ao PT se declara aos quatro ventos que e o homem mais honesto do pais e que nao deve nada a ninguem,Que tanto medo LULA investiguem PT declara quatro ventos homem honesto pais deve nada ninguem,que tanto medo lula investiguem pt declara quatro ventos homem honesto pais deve nada ninguem,que tant med lul investig pt decl quatr vent hom honest pal dev nad ning
1.0,Engraçado!,Engraçado!,Engraçado,Engracado,Engracado,engracado,engrac
1.0,"Na realidade, amarelou!!","Na realidade, amarelou!!",Na realidade amarelou,Na realidade amarelou,Na realidade amarelou,na realidade amarelou,na real amarel
