sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
>...manutenção das mentiras?,>...manutenção das mentiras?,1,manutenção das mentiras,manutencao das mentiras,manutencao mentiras,manutencao mentiras,manutenca ment
>...aumento do embuste?,>...aumento do embuste?,1,aumento do embuste,aumento do embuste,aumento embuste,aumento embuste,aument embust
>...aumento da moralidade?,>...aumento da moralidade?,1,aumento da moralidade,aumento da moralidade,aumento moralidade,aumento moralidade,aument moral
>Pra mim pode ser metade portuguesa e metade aliche,>Pra mim pode ser metade portuguesa e metade aliche,1,Pra mim pode ser metade portuguesa e metade aliche,Pra mim pode ser metade portuguesa e metade aliche,Pra mim pode ser metade portuguesa metade aliche,pra mim pode ser metade portuguesa metade aliche,pra mim pod ser metad portugu metad alich
">Lição: [""O crime compensa!""]P1",">Lição: [""O crime compensa!""]P1",1,Lição O crime compensaP1,Licao O crime compensaP1,Licao O crime compensaP1,licao o crime compensap1,lica o crim compensap1
>Vender o Boing presidencial seria uma boa iniciativa.,>Vender o Boing presidencial seria uma boa iniciativa.,1,Vender o Boing presidencial seria uma boa iniciativa,Vender o Boing presidencial seria uma boa iniciativa,Vender Boing presidencial boa iniciativa,vender boing presidencial boa iniciativa,vend boing presid boa inici
ai bicleta nao da geito so de moto [kkkk]P5,ai bicleta nao da geito so de moto kkkk,1,ai bicleta nao da geito so de moto kkkk,ai bicleta nao da geito so de moto kkkk,ai bicleta geito moto kkkk,ai bicleta geito moto kkkk,ai biclet geit mot kkkk
>Será que no discurso ela não saudou a mandioca?,>Será que no discurso ela não saudou a mandioca?,1,Será que no discurso ela não saudou a mandioca,Sera que no discurso ela nao saudou a mandioca,Sera discurso saudou mandioca,sera discurso saudou mandioca,ser discurs saud mandioc
>Não pediu para a população estocar vento?,>Não pediu para a população estocar vento?,1,Não pediu para a população estocar vento,Nao pediu para a populacao estocar vento,Nao pediu populacao estocar vento,nao pediu populacao estocar vento,nao ped populaca estoc vent
>não pediu por que vai dar pastel do vento estocado para todos bolsa pete.,>não pediu por que vai dar pastel do vento estocado para todos bolsa pete.,1,não pediu por que vai dar pastel do vento estocado para todos bolsa pete,nao pediu por que vai dar pastel do vento estocado para todos bolsa pete,pediu vai dar pastel vento estocado todos bolsa pete,pediu vai dar pastel vento estocado todos bolsa pete,ped vai dar pastel vent estoc tod bols pet
>Quer dizer que agora até o Executivo vai poder dar pitaco nos procedimentos da Câmara??,>Quer dizer que agora até o Executivo vai poder dar pitaco nos procedimentos da Câmara??,1,Quer dizer que agora até o Executivo vai poder dar pitaco nos procedimentos da Câmara,Quer dizer que agora ate o Executivo vai poder dar pitaco nos procedimentos da Camara,Quer dizer agora Executivo vai poder dar pitaco procedimentos Camara,quer dizer agora executivo vai poder dar pitaco procedimentos camara,qu diz agor execu vai pod dar pitac proced cam
">CUT , Cuba , Cumunismo , Cumpanheiro , [Cuxinha]P2 não dá para desconfiar quem vai desfilar na paulista no carnaval de fantasia real da augusta ?",">CUT , Cuba , Cumunismo , Cumpanheiro , Cuxinha não dá para desconfiar quem vai desfilar na paulista no carnaval de fantasia real da augusta ?",1,CUT  Cuba  Cumunismo  Cumpanheiro  Cuxinha não dá para desconfiar quem vai desfilar na paulista no carnaval de fantasia real da augusta ,CUT  Cuba  Cumunismo  Cumpanheiro  Cuxinha nao da para desconfiar quem vai desfilar na paulista no carnaval de fantasia real da augusta ,CUT Cuba Cumunismo Cumpanheiro Cuxinha desconfiar vai desfilar paulista carnaval fantasia real augusta,cut cuba cumunismo cumpanheiro cuxinha desconfiar vai desfilar paulista carnaval fantasia real augusta,cut cub cumun cumpanh cux desconfi vai desfil paul carnav fantas real august
>Fixação no pai fiel castrador fidel castro e na mãe do PAC . P ( ete ) . C.C .,>Fixação no pai fiel castrador fidel castro e na mãe do PAC . P ( ete ) . C.C .,1,Fixação no pai fiel castrador fidel castro e na mãe do PAC  P  ete   CC ,Fixacao no pai fiel castrador fidel castro e na mae do PAC  P  ete   CC ,Fixacao pai fiel castrador fidel castro mae PAC P ete CC,fixacao pai fiel castrador fidel castro mae pac p ete cc,fixaca pai fiel castr fidel castr mae pac p ete cc
">E agora, Jose?</sentence>",">E agora, Jose?</sentence>",1,E agora Josesentence,E agora Josesentence,E agora Josesentence,e agora josesentence,e agor josesentenc
">Depois dessa, poderiam perguntar a cada condenado na Lava Jato quantos anos de prisão cada um gostaria de receber...",">Depois dessa, poderiam perguntar a cada condenado na Lava Jato quantos anos de prisão cada um gostaria de receber...",1,Depois dessa poderiam perguntar a cada condenado na Lava Jato quantos anos de prisão cada um gostaria de receber,Depois dessa poderiam perguntar a cada condenado na Lava Jato quantos anos de prisao cada um gostaria de receber,Depois dessa poderiam perguntar cada condenado Lava Jato quantos anos prisao cada gostaria receber,depois dessa poderiam perguntar cada condenado lava jato quantos anos prisao cada gostaria receber,depois dess pod pergunt cad conden lav jat quant ano prisa cad gost receb
>Será que foi importado do supremo venezuelano?,>Será que foi importado do supremo venezuelano?,1,Será que foi importado do supremo venezuelano,Sera que foi importado do supremo venezuelano,Sera importado supremo venezuelano,sera importado supremo venezuelano,ser import supr venezuel
">ofegante é por que chegou agora , ofegando .",">ofegante é por que chegou agora , ofegando .",1,ofegante é por que chegou agora  ofegando ,ofegante e por que chegou agora  ofegando ,ofegante chegou agora ofegando,ofegante chegou agora ofegando,ofeg cheg agor ofeg
>Aqui é a casa da mãe Joana.,>Aqui é a casa da mãe Joana.,1,Aqui é a casa da mãe Joana,Aqui e a casa da mae Joana,Aqui casa mae Joana,aqui casa mae joana,aqu cas mae joan
">Aqui pode tudo, só não pode ser honesto!",">Aqui pode tudo, só não pode ser honesto!",1,Aqui pode tudo só não pode ser honesto,Aqui pode tudo so nao pode ser honesto,Aqui pode tudo pode ser honesto,aqui pode tudo pode ser honesto,aqu pod tud pod ser honest
">Pior , aqui é a casa da mãe do PAC .",">Pior , aqui é a casa da mãe do PAC .",1,Pior  aqui é a casa da mãe do PAC ,Pior  aqui e a casa da mae do PAC ,Pior aqui casa mae PAC,pior aqui casa mae pac,pi aqu cas mae pac
">Tem uma pessoa que age nos bastidores, esse é que orquestra, mídia, mpl, black bloc's, suspeito até nas paralisações dos trens, está localizado ,prefeito, governador, senador, quem será essa figura misteriosa?",">Tem uma pessoa que age nos bastidores, esse é que orquestra, mídia, mpl, black bloc's, suspeito até nas paralisações dos trens, está localizado ,prefeito, governador, senador, quem será essa figura misteriosa?",1,Tem uma pessoa que age nos bastidores esse é que orquestra mídia mpl black blocs suspeito até nas paralisações dos trens está localizado prefeito governador senador quem será essa figura misteriosa,Tem uma pessoa que age nos bastidores esse e que orquestra midia mpl black blocs suspeito ate nas paralisacoes dos trens esta localizado prefeito governador senador quem sera essa figura misteriosa,Tem pessoa age bastidores orquestra midia mpl black blocs suspeito paralisacoes trens localizado prefeito governador senador figura misteriosa,tem pessoa age bastidores orquestra midia mpl black blocs suspeito paralisacoes trens localizado prefeito governador senador figura misteriosa,tem pesso age bast orquestr mid mpl black bloc suspeit paralisaco tr local prefeit govern sen figur misteri
">Se é que Judas realmente traiu, hoje temos que temer ops... temer",">Se é que Judas realmente traiu, hoje temos que temer ops... temer",1,Se é que Judas realmente traiu hoje temos que temer ops temer,Se e que Judas realmente traiu hoje temos que temer ops temer,Se Judas realmente traiu hoje temer ops temer,se judas realmente traiu hoje temer ops temer,se jud real tra hoj tem op tem
>Ou desejam tribunais do povo como na china de mão tse tung ou de Stalin ?,>Ou desejam tribunais do povo como na china de mão tse tung ou de Stalin ?,1,Ou desejam tribunais do povo como na china de mão tse tung ou de Stalin ,Ou desejam tribunais do povo como na china de mao tse tung ou de Stalin ,Ou desejam tribunais povo china mao tse tung Stalin,ou desejam tribunais povo china mao tse tung stalin,ou desej tribun pov chin mao tse tung stalin
>Agora época do zika .,>Agora época do zika .,1,Agora época do zika ,Agora epoca do zika ,Agora epoca zika,agora epoca zika,agor epoc zik
>Ctrl c e Ctrl v é um vício desgraçado.,>Ctrl c e Ctrl v é um vício desgraçado.,1,Ctrl c e Ctrl v é um vício desgraçado,Ctrl c e Ctrl v e um vicio desgracado,Ctrl c Ctrl v vicio desgracado,ctrl c ctrl v vicio desgracado,ctrl c ctrl v vici desgrac
>Temer conversar .,>Temer conversar .,1,Temer conversar ,Temer conversar ,Temer conversar,temer conversar,tem convers
>Com mulher sapiens ou melhor australopitecus aferensis seria grunhir : gugu dada .,>Com mulher sapiens ou melhor australopitecus aferensis seria grunhir : gugu dada .,1,Com mulher sapiens ou melhor australopitecus aferensis seria grunhir  gugu dada ,Com mulher sapiens ou melhor australopitecus aferensis seria grunhir  gugu dada ,Com mulher sapiens melhor australopitecus aferensis grunhir gugu dada,com mulher sapiens melhor australopitecus aferensis grunhir gugu dada,com mulh sapi melhor australopitecu aferensil grunh gugu dad
>carnaval andar nadando no lago do sitio corcovado ?,>carnaval andar nadando no lago do sitio corcovado ?,1,carnaval andar nadando no lago do sitio corcovado ,carnaval andar nadando no lago do sitio corcovado ,carnaval andar nadando lago sitio corcovado,carnaval andar nadando lago sitio corcovado,carnav and nad lag siti corcov
>levar pneu para boiar ou boiar sem nada .,>levar pneu para boiar ou boiar sem nada .,1,levar pneu para boiar ou boiar sem nada ,levar pneu para boiar ou boiar sem nada ,levar pneu boiar boiar nada,levar pneu boiar boiar nada,lev pneu boi boi nad
>conversar com chefe .,>conversar com chefe .,1,conversar com chefe ,conversar com chefe ,conversar chefe,conversar chefe,convers chef
>convencer que pensar sapiens sapiens mas ser um australopitecos ?,>convencer que pensar sapiens sapiens mas ser um australopitecos ?,1,convencer que pensar sapiens sapiens mas ser um australopitecos ,convencer que pensar sapiens sapiens mas ser um australopitecos ,convencer pensar sapiens sapiens ser australopitecos,convencer pensar sapiens sapiens ser australopitecos,convenc pens sapi sapi ser australopitec
>Reunião do golpe!!!!,>Reunião do golpe!!!!,1,Reunião do golpe,Reuniao do golpe,Reuniao golpe,reuniao golpe,reunia golp
">Carlito teves madurim vulgo rochalo, quem é mesmo que vive se escondendo atrás do que?",">Carlito teves madurim vulgo rochalo, quem é mesmo que vive se escondendo atrás do que?",1,Carlito teves madurim vulgo rochalo quem é mesmo que vive se escondendo atrás do que,Carlito teves madurim vulgo rochalo quem e mesmo que vive se escondendo atras do que,Carlito teves madurim vulgo rochalo vive escondendo atras,carlito teves madurim vulgo rochalo vive escondendo atras,carlit tev madurim vulg rochal viv escond atr
">E o da kuadrilha, é lá no Instituto.",">E o da kuadrilha, é lá no Instituto.",1,E o da kuadrilha é lá no Instituto,E o da kuadrilha e la no Instituto,E kuadrilha la Instituto,e kuadrilha la instituto,e kuadrilh la institut
>Estranho que coincide com os fãs da indicação de engavetado geral comum no passado.,>Estranho que coincide com os fãs da indicação de engavetado geral comum no passado.,1,Estranho que coincide com os fãs da indicação de engavetado geral comum no passado,Estranho que coincide com os fas da indicacao de engavetado geral comum no passado,Estranho coincide fas indicacao engavetado geral comum passado,estranho coincide fas indicacao engavetado geral comum passado,estranh coincid fa indicaca engavet geral comum pass
">esse é um segredo meu e de sua mãe, mas já que você tocou no assunto, eu não preciso mais guardar segredo.",">esse é um segredo meu e de sua mãe, mas já que você tocou no assunto, eu não preciso mais guardar segredo.",1,esse é um segredo meu e de sua mãe mas já que você tocou no assunto eu não preciso mais guardar segredo,esse e um segredo meu e de sua mae mas ja que voce tocou no assunto eu nao preciso mais guardar segredo,segredo mae tocou assunto preciso guardar segredo,segredo mae tocou assunto preciso guardar segredo,segred mae toc assunt precis guard segred
">Já comeu o pão com mortadela de cada dia, cabeça iluminada do PT?",">Já comeu o pão com mortadela de cada dia, cabeça iluminada do PT?",1,Já comeu o pão com mortadela de cada dia cabeça iluminada do PT,Ja comeu o pao com mortadela de cada dia cabeca iluminada do PT,Ja comeu pao mortadela cada dia cabeca iluminada PT,ja comeu pao mortadela cada dia cabeca iluminada pt,ja com pao mortadel cad dia cabec ilumin pt
>FSP o periódico petista.,>FSP o periódico petista.,1,FSP o periódico petista,FSP o periodico petista,FSP periodico petista,fsp periodico petista,fsp period petist
>Adivinhem?,>Adivinhem?,1,Adivinhem,Adivinhem,Adivinhem,adivinhem,adivinh
>Chora +,>Chora +,1,Chora ,Chora ,Chora,chora,chor
">Ora, faça-me o favor !!!",">Ora, faça-me o favor !!!",1,Ora façame o favor ,Ora facame o favor ,Ora facame favor,ora facame favor,ora facam favor
>Dinheiro de corrupção para financiar campanha de Dilma ñ é grave.,>Dinheiro de corrupção para financiar campanha de Dilma ñ é grave.,1,Dinheiro de corrupção para financiar campanha de Dilma ñ é grave,Dinheiro de corrupcao para financiar campanha de Dilma n e grave,Dinheiro corrupcao financiar campanha Dilma n grave,dinheiro corrupcao financiar campanha dilma n grave,dinh corrupca financi campanh dilm n grav
">Mesmo porque se justificasse a perda do mandato, não haveria mais nenhum político no Brasil...",">Mesmo porque se justificasse a perda do mandato, não haveria mais nenhum político no Brasil...",1,Mesmo porque se justificasse a perda do mandato não haveria mais nenhum político no Brasil,Mesmo porque se justificasse a perda do mandato nao haveria mais nenhum politico no Brasil,Mesmo porque justificasse perda mandato haveria nenhum politico Brasil,mesmo porque justificasse perda mandato haveria nenhum politico brasil,mesm porqu justific perd mandat hav nenhum poli brasil
